year,month,day,date,fruits_veggies,daily_stress,places_visited,core_circle,supporting_others,social_network,achievement,donation,bmi_range,todo_completed,flow,daily_steps,live_vision,sleep_hours,lost_vacation,daily_shouting,sufficient_income,personal_awards,time_for_passion,weekly_meditation,age,gender,work_life_balance_score,Positive Experience Index,Negative Experience Index,median
2016,1,3,2016-01-03,2,1,2,7,5,5,2,2,1,8,4,4,5,8,0,3,2,10,4,5,36 to 50,Male,686.0,70,28,11.8
2016,1,3,2016-01-03,4,1,4,2,5,10,2,1,1,5,5,7,3,7,3,1,2,4,1,7,21 to 35,Male,676.2,70,28,11.8
2016,1,3,2016-01-03,1,5,3,2,10,2,3,5,1,7,1,4,0,5,5,10,2,10,2,1,36 to 50,Female,625.9,70,28,11.8
2016,1,4,2016-01-04,2,2,2,1,1,2,2,0,2,2,0,4,2,4,0,0,1,2,0,1,21 to 35,Male,567.9,70,28,11.8
2016,1,4,2016-01-04,2,2,1,1,0,2,1,0,2,2,0,6,2,5,0,1,1,2,0,2,21 to 35,Male,568.5,70,28,11.8
2016,1,4,2016-01-04,1,5,10,10,6,7,4,3,2,3,1,6,1,6,0,5,2,10,1,7,36 to 50,Male,657.1,70,28,11.8
2016,1,4,2016-01-04,4,2,10,5,10,10,4,1,2,7,2,6,2,8,10,0,2,7,6,7,21 to 35,Male,683.0,70,28,11.8
2016,1,4,2016-01-04,2,3,1,4,1,10,3,0,1,4,1,8,5,7,5,4,2,3,2,5,36 to 50,Male,637.3,70,28,11.8
2016,1,4,2016-01-04,0,5,3,1,10,10,1,1,2,3,2,3,2,5,0,4,1,10,4,7,36 to 50,Male,612.1,70,28,11.8
2016,1,4,2016-01-04,4,4,3,10,4,7,2,5,2,3,1,8,10,8,7,1,2,10,1,10,36 to 50,Female,681.7,70,28,11.8
2016,1,4,2016-01-04,2,1,1,3,7,10,5,5,1,5,2,6,5,8,2,4,2,6,8,3,36 to 50,Female,691.5,70,28,11.8
2016,1,5,2016-01-05,2,2,10,3,10,10,2,2,2,6,3,6,0,7,0,1,2,4,6,7,21 to 35,Female,677.7,70,28,11.8
2016,1,5,2016-01-05,4,3,4,5,8,5,10,5,2,4,2,10,3,6,0,0,1,8,3,10,51 or more,Female,683.4,70,28,11.8
2016,1,5,2016-01-05,2,2,4,7,5,10,3,3,1,8,3,4,5,7,8,3,2,6,1,5,21 to 35,Female,670.5,70,28,11.8
2016,1,5,2016-01-05,2,5,1,4,2,10,3,2,2,3,4,2,5,6,3,7,1,7,4,3,21 to 35,Male,600.2,70,28,11.8
2016,1,5,2016-01-05,3,4,0,2,0,10,10,2,2,0,0,2,10,8,10,5,1,3,0,10,21 to 35,Male,600.6,70,28,11.8
2016,1,5,2016-01-05,1,4,3,8,7,10,3,5,2,5,5,5,0,6,10,3,1,5,1,3,21 to 35,Male,617.8,70,28,11.8
2016,1,5,2016-01-05,5,2,8,2,6,4,3,1,2,1,1,3,1,9,2,2,1,3,1,3,21 to 35,Female,612.9,70,28,11.8
2016,1,5,2016-01-05,5,3,10,8,10,6,5,5,1,8,8,10,5,7,0,0,2,5,8,10,21 to 35,Female,758.4,70,28,11.8
2016,1,5,2016-01-05,3,3,1,4,2,6,6,4,1,7,1,2,0,8,0,3,1,4,1,8,Less than 20,Female,639.7,70,28,11.8
2016,1,5,2016-01-05,1,2,1,3,4,8,3,2,1,7,4,3,2,7,2,4,2,9,1,4,21 to 35,Male,651.6,70,28,11.8
2016,1,5,2016-01-05,3,1,4,5,4,5,5,0,2,7,5,8,10,8,0,2,2,5,6,7,36 to 50,Male,685.1,70,28,11.8
2016,1,6,2016-01-06,2,1,5,8,1,5,1,1,1,4,2,2,2,6,10,0,2,2,2,6,21 to 35,Male,630.8,70,28,11.8
2016,1,6,2016-01-06,3,3,3,5,8,10,8,3,2,8,7,1,10,7,0,3,2,10,6,3,36 to 50,Female,697.1,70,28,11.8
2016,1,6,2016-01-06,3,1,6,10,10,10,4,5,1,10,3,2,10,7,8,3,2,10,2,1,36 to 50,Male,712.6,70,28,11.8
2016,1,6,2016-01-06,5,1,5,5,3,10,2,1,2,5,1,9,10,7,0,1,2,10,0,10,21 to 35,Female,693.6,70,28,11.8
2016,1,6,2016-01-06,1,1,10,10,10,4,5,4,1,5,1,5,5,6,10,1,1,8,1,1,21 to 35,Male,662.0,70,28,11.8
2016,1,6,2016-01-06,4,4,3,3,0,10,2,3,1,8,2,4,3,6,9,1,1,4,4,2,21 to 35,Male,626.1,70,28,11.8
2016,1,6,2016-01-06,1,1,4,1,2,9,0,1,1,0,0,10,0,6,10,0,2,8,0,6,21 to 35,Male,629.0,70,28,11.8
2016,1,6,2016-01-06,4,4,2,10,10,3,1,5,2,8,1,4,5,6,0,7,2,6,0,4,21 to 35,Female,653.3,70,28,11.8
2016,1,6,2016-01-06,2,3,8,3,5,3,2,0,2,5,1,8,1,7,0,8,1,3,0,10,21 to 35,Male,608.4,70,28,11.8
2016,1,6,2016-01-06,2,4,9,4,0,7,0,0,1,8,1,7,3,5,4,10,2,10,0,7,Less than 20,Female,636.7,70,28,11.8
2016,1,6,2016-01-06,0,4,2,4,7,10,0,2,2,8,3,10,10,4,0,6,2,10,0,7,Less than 20,Male,657.5,70,28,11.8
2016,1,6,2016-01-06,5,5,1,7,7,10,6,2,1,7,8,8,5,7,5,6,2,10,7,5,36 to 50,Female,701.9,70,28,11.8
2016,1,7,2016-01-07,5,5,8,8,10,10,5,2,2,8,6,6,2,7,2,3,1,10,10,5,36 to 50,Male,689.6,70,28,11.8
2016,1,7,2016-01-07,5,5,8,8,10,10,5,2,2,8,6,6,2,7,2,3,1,10,10,5,36 to 50,Male,689.6,70,28,11.8
2016,1,7,2016-01-07,1,4,5,4,4,4,3,3,2,2,3,2,2,8,5,4,1,10,1,4,36 to 50,Male,602.3,70,28,11.8
2016,1,7,2016-01-07,3,1,4,10,5,10,7,4,2,9,1,4,1,7,0,1,2,10,2,7,51 or more,Male,696.0,70,28,11.8
2016,1,7,2016-01-07,1,2,2,7,0,10,5,1,1,1,3,8,1,6,0,2,2,5,0,4,21 to 35,Male,649.0,70,28,11.8
2016,1,7,2016-01-07,4,2,10,10,4,10,4,5,1,8,8,10,5,7,0,0,2,8,4,10,21 to 35,Male,755.0,70,28,11.8
2016,1,7,2016-01-07,5,1,10,8,10,5,3,5,1,10,4,10,0,8,0,2,2,8,4,10,51 or more,Female,745.0,70,28,11.8
2016,1,8,2016-01-08,4,4,3,3,3,10,2,1,2,3,2,4,3,6,1,4,1,3,1,2,21 to 35,Female,600.6,70,28,11.8
2016,1,8,2016-01-08,5,0,10,0,10,10,10,5,2,10,3,1,0,7,0,0,2,10,2,10,51 or more,Male,720.9,70,28,11.8
2016,1,8,2016-01-08,1,0,5,10,10,10,10,5,1,9,6,5,10,5,10,0,2,10,10,5,36 to 50,Male,745.1,70,28,11.8
2016,1,8,2016-01-08,2,0,6,10,10,10,10,5,1,10,7,5,10,5,10,0,2,10,10,5,36 to 50,Male,753.6,70,28,11.8
2016,1,8,2016-01-08,4,3,10,10,10,10,5,5,1,6,2,9,1,8,0,1,1,8,4,10,36 to 50,Female,724.4,70,28,11.8
2016,1,8,2016-01-08,5,5,2,5,4,0,1,2,2,4,2,6,0,6,0,1,2,5,0,10,51 or more,Male,628.2,70,28,11.8
2016,1,9,2016-01-09,3,1,10,10,10,8,4,3,1,8,2,5,2,8,2,3,2,6,2,10,36 to 50,Female,716.8,70,28,11.8
2016,1,9,2016-01-09,2,2,4,5,1,6,0,0,2,4,1,3,0,8,0,2,2,5,3,2,36 to 50,Female,614.4,70,28,11.8
2016,1,9,2016-01-09,5,5,4,6,2,3,2,5,2,4,2,10,1,6,0,7,1,3,0,7,36 to 50,Female,620.5,70,28,11.8
2016,1,9,2016-01-09,5,5,4,6,2,3,2,5,2,4,2,10,1,6,0,7,1,3,0,7,36 to 50,Female,620.5,70,28,11.8
2016,1,9,2016-01-09,3,1,5,5,3,1,0,3,2,4,2,1,0,8,0,3,2,10,2,7,21 to 35,Female,639.5,70,28,11.8
2016,1,10,2016-01-10,1,2,5,5,4,6,3,1,2,3,7,2,1,5,0,0,2,0,2,8,51 or more,Female,632.3,70,28,11.8
2016,1,10,2016-01-10,4,3,4,4,10,10,7,5,2,9,9,5,10,8,5,0,2,10,10,10,51 or more,Male,738.9,70,28,11.8
2016,1,10,2016-01-10,4,3,4,4,10,10,7,5,2,9,9,5,10,8,5,0,2,10,10,10,51 or more,Male,738.9,70,28,11.8
2016,1,10,2016-01-10,5,3,1,3,3,10,0,1,1,7,3,2,1,6,5,3,2,7,0,4,36 to 50,Female,639.3,70,28,11.8
2016,1,10,2016-01-10,3,0,8,6,10,5,10,4,1,7,2,10,5,10,0,0,2,7,4,10,51 or more,Male,748.8,70,28,11.8
2016,1,10,2016-01-10,3,0,4,10,10,10,3,5,1,4,3,8,2,7,0,1,2,4,3,10,36 to 50,Female,722.3,70,28,11.8
2016,1,10,2016-01-10,1,1,10,5,4,5,5,2,1,7,4,5,1,6,8,0,2,5,1,6,21 to 35,Male,665.4,70,28,11.8
2016,1,10,2016-01-10,2,2,2,4,4,2,0,4,2,7,1,2,1,5,0,3,2,8,0,8,51 or more,Female,628.9,70,28,11.8
2016,1,10,2016-01-10,4,1,6,6,10,3,8,5,2,8,2,8,1,7,2,0,2,10,4,10,36 to 50,Female,712.1,70,28,11.8
2016,1,10,2016-01-10,5,2,10,3,1,4,10,2,1,8,1,3,4,8,1,1,2,5,3,7,21 to 35,Male,690.9,70,28,11.8
2016,1,10,2016-01-10,3,5,1,5,8,10,7,4,2,7,7,2,9,6,10,8,2,3,5,0,36 to 50,Female,641.0,70,28,11.8
2016,1,10,2016-01-10,4,3,10,9,5,10,3,3,1,6,1,6,1,7,0,1,2,9,9,10,51 or more,Female,721.9,70,28,11.8
2016,1,10,2016-01-10,4,1,5,2,2,3,2,2,1,7,1,6,0,8,0,4,2,0,1,2,36 to 50,Female,640.5,70,28,11.8
2016,1,11,2016-01-11,3,4,2,2,1,10,1,2,1,5,3,3,2,8,2,3,2,4,5,3,36 to 50,Female,641.6,70,28,11.8
2016,1,11,2016-01-11,3,3,2,10,5,10,9,4,2,8,3,7,1,6,0,1,1,10,1,7,36 to 50,Female,676.0,70,28,11.8
2016,1,11,2016-01-11,5,2,4,10,10,4,10,5,1,7,4,6,2,8,0,0,1,10,5,6,51 or more,Female,720.4,70,28,11.8
2016,1,11,2016-01-11,5,4,5,4,2,6,1,1,1,5,1,5,0,6,0,10,1,2,0,10,21 to 35,Female,616.1,70,28,11.8
2016,1,11,2016-01-11,4,2,8,5,4,5,3,3,1,5,6,6,1,5,0,3,2,4,3,6,51 or more,Female,679.0,70,28,11.8
2016,1,11,2016-01-11,4,2,10,7,7,9,3,3,1,5,2,7,1,7,0,0,2,7,3,10,51 or more,Female,713.6,70,28,11.8
2016,1,11,2016-01-11,1,0,5,4,1,10,1,3,2,7,3,7,4,7,0,1,1,5,1,5,21 to 35,Male,643.9,70,28,11.8
2016,1,11,2016-01-11,1,1,5,10,2,5,7,2,1,8,2,5,0,7,0,2,2,5,2,8,21 to 35,Male,679.2,70,28,11.8
2016,1,12,2016-01-12,0,3,1,2,9,10,0,0,1,0,3,2,0,9,10,3,2,3,1,1,36 to 50,Male,600.8,70,28,11.8
2016,1,12,2016-01-12,2,2,2,1,0,1,0,0,1,1,0,1,0,9,0,4,1,1,1,10,21 to 35,Female,585.3,70,28,11.8
2016,1,12,2016-01-12,1,3,4,5,7,10,4,4,2,5,7,4,5,5,0,5,2,4,7,7,21 to 35,Male,670.1,70,28,11.8
2016,1,12,2016-01-12,3,2,6,2,7,8,4,3,1,8,10,6,3,8,0,2,2,8,1,4,36 to 50,Female,701.7,70,28,11.8
2016,1,12,2016-01-12,3,5,8,7,10,4,2,1,1,7,1,5,4,8,0,2,2,10,2,2,21 to 35,Female,676.0,70,28,11.8
2016,1,12,2016-01-12,3,2,8,10,10,10,9,5,2,7,6,8,10,8,0,1,2,10,2,5,36 to 50,Male,741.2,70,28,11.8
2016,1,13,2016-01-13,5,0,4,5,2,5,2,5,1,6,5,10,1,7,0,2,2,4,6,10,36 to 50,Female,709.1,70,28,11.8
2016,1,13,2016-01-13,2,3,5,4,10,10,3,5,2,8,3,8,5,8,0,1,1,10,1,5,21 to 35,Female,678.3,70,28,11.8
2016,1,13,2016-01-13,2,3,10,6,10,4,4,3,1,9,3,5,5,6,0,1,2,10,3,10,36 to 50,Female,713.0,70,28,11.8
2016,1,13,2016-01-13,1,2,4,2,3,3,6,1,1,3,6,3,1,6,3,2,2,7,4,5,51 or more,Male,644.6,70,28,11.8
2016,1,13,2016-01-13,1,5,3,3,2,10,5,1,1,8,1,3,8,6,6,6,1,5,3,4,Less than 20,Female,619.1,70,28,11.8
2016,1,13,2016-01-13,5,5,2,9,10,10,6,5,1,5,1,10,0,6,5,1,2,6,5,10,36 to 50,Female,707.2,70,28,11.8
2016,1,14,2016-01-14,2,3,2,5,5,10,0,2,1,8,0,1,3,8,0,5,2,2,0,1,36 to 50,Female,634.4,70,28,11.8
2016,1,14,2016-01-14,1,2,4,5,10,10,2,3,2,8,1,5,4,8,0,1,2,10,2,5,36 to 50,Male,677.7,70,28,11.8
2016,1,14,2016-01-14,4,5,8,5,4,8,3,5,2,5,3,5,2,8,10,5,2,8,7,7,51 or more,Female,659.0,70,28,11.8
2016,1,14,2016-01-14,3,3,8,4,10,10,7,2,2,8,3,5,3,8,0,2,2,3,5,10,21 to 35,Female,693.0,70,28,11.8
2016,1,14,2016-01-14,3,3,8,4,10,10,7,2,2,8,3,5,3,8,0,2,2,3,5,10,21 to 35,Female,693.0,70,28,11.8
2016,1,14,2016-01-14,2,3,1,2,2,10,1,2,2,1,1,1,0,7,0,1,1,10,2,7,36 to 50,Female,607.0,70,28,11.8
2016,1,14,2016-01-14,5,2,4,8,4,10,3,5,1,8,4,3,10,7,0,3,2,6,1,6,36 to 50,Female,711.1,70,28,11.8
2016,1,14,2016-01-14,5,4,3,5,4,10,4,3,2,5,5,4,1,8,4,7,2,3,6,5,21 to 35,Female,648.6,70,28,11.8
2016,1,15,2016-01-15,4,4,1,4,2,1,2,3,1,2,0,5,0,7,0,5,2,3,0,5,36 to 50,Female,619.7,70,28,11.8
2016,1,15,2016-01-15,2,4,2,10,6,10,2,0,1,5,3,8,2,8,0,10,1,3,4,6,Less than 20,Female,640.9,70,28,11.8
2016,1,15,2016-01-15,3,1,10,5,2,3,2,1,1,3,0,1,0,8,0,1,2,4,2,5,21 to 35,Male,648.0,70,28,11.8
2016,1,15,2016-01-15,3,4,6,8,3,10,4,2,1,8,9,3,5,8,10,3,1,7,7,10,36 to 50,Female,677.3,70,28,11.8
2016,1,15,2016-01-15,4,2,5,7,10,10,3,1,2,3,1,6,3,8,0,4,2,8,8,7,36 to 50,Male,684.7,70,28,11.8
2016,1,15,2016-01-15,1,3,1,8,4,8,1,1,2,8,1,4,1,7,7,5,2,2,0,7,36 to 50,Female,611.0,70,28,11.8
2016,1,15,2016-01-15,0,3,0,1,1,2,2,1,2,6,0,2,0,8,0,10,2,1,0,8,51 or more,Female,575.1,70,28,11.8
2016,1,15,2016-01-15,0,3,0,1,1,2,2,1,2,6,0,2,0,8,0,10,2,1,0,8,51 or more,Female,575.1,70,28,11.8
2016,1,15,2016-01-15,0,3,0,1,1,2,2,1,2,6,0,2,0,8,0,10,2,1,0,8,51 or more,Female,575.1,70,28,11.8
2016,1,15,2016-01-15,0,3,0,1,1,2,2,1,2,6,0,2,0,8,0,10,2,1,0,8,51 or more,Female,575.1,70,28,11.8
2016,1,15,2016-01-15,4,2,6,7,6,8,3,5,1,7,3,8,3,7,3,1,2,10,2,7,21 to 35,Female,712.1,70,28,11.8
2016,1,15,2016-01-15,2,5,2,4,10,10,5,2,2,8,2,4,5,7,0,10,1,4,2,7,51 or more,Female,628.0,70,28,11.8
2016,1,15,2016-01-15,5,4,10,10,10,7,5,5,2,4,3,6,4,7,0,4,2,6,4,8,51 or more,Female,703.2,70,28,11.8
2016,1,15,2016-01-15,2,3,10,6,3,10,4,2,1,1,0,1,0,7,9,3,2,3,1,3,21 to 35,Female,629.1,70,28,11.8
2016,1,15,2016-01-15,5,4,10,10,10,8,5,5,2,3,3,6,3,7,0,5,2,5,2,10,51 or more,Female,698.1,70,28,11.8
2016,1,16,2016-01-16,4,1,5,2,7,2,2,5,2,7,4,4,1,7,0,1,1,8,6,7,51 or more,Female,660.3,70,28,11.8
2016,1,16,2016-01-16,1,3,0,4,1,4,4,1,2,3,5,1,4,8,10,1,1,7,4,4,36 to 50,Female,590.2,70,28,11.8
2016,1,16,2016-01-16,2,2,10,1,2,1,10,1,1,4,1,1,2,9,0,10,2,10,4,10,21 to 35,Female,660.1,70,28,11.8
2016,1,16,2016-01-16,2,1,1,6,2,10,2,2,2,7,2,8,10,6,1,1,2,3,2,5,36 to 50,Female,662.6,70,28,11.8
2016,1,16,2016-01-16,1,0,3,4,4,10,2,5,2,5,1,1,1,4,3,5,2,6,0,10,51 or more,Female,638.7,70,28,11.8
2016,1,17,2016-01-17,1,1,2,9,6,9,4,0,1,8,4,5,10,6,10,2,2,5,1,3,21 to 35,Female,665.4,70,28,11.8
2016,1,17,2016-01-17,2,1,10,10,5,5,4,5,1,7,1,7,7,8,10,0,2,10,5,10,21 to 35,Female,718.9,70,28,11.8
2016,1,17,2016-01-17,1,3,6,6,8,2,4,3,2,8,6,4,0,5,0,1,2,4,10,6,51 or more,Female,665.0,70,28,11.8
2016,1,17,2016-01-17,5,4,10,6,5,3,5,5,2,4,2,5,0,7,10,7,2,10,5,10,51 or more,Male,660.5,70,28,11.8
2016,1,17,2016-01-17,5,3,10,10,10,10,7,5,1,6,3,8,5,8,0,1,2,10,9,10,36 to 50,Male,766.7,70,28,11.8
2016,1,17,2016-01-17,3,1,5,9,7,10,4,5,1,7,3,7,1,6,3,1,2,8,3,10,51 or more,Male,716.8,70,28,11.8
2016,1,17,2016-01-17,2,4,1,5,7,2,1,5,1,8,0,1,1,7,0,10,2,10,0,4,36 to 50,Female,635.9,70,28,11.8
2016,1,17,2016-01-17,1,3,4,6,4,1,3,0,1,4,2,6,0,6,7,2,2,2,0,5,21 to 35,Male,614.6,70,28,11.8
2016,1,17,2016-01-17,5,3,4,10,5,10,1,4,2,0,2,3,2,4,0,0,2,7,2,10,21 to 35,Male,668.0,70,28,11.8
2016,1,17,2016-01-17,5,5,3,3,4,10,3,3,1,5,1,4,0,6,0,0,2,5,1,7,36 to 50,Female,661.8,70,28,11.8
2016,1,17,2016-01-17,1,1,1,4,1,6,5,1,2,6,3,2,5,7,1,1,2,4,7,10,21 to 35,Male,649.7,70,28,11.8
2016,1,17,2016-01-17,1,2,3,3,2,2,3,1,1,7,2,7,2,6,1,2,2,5,5,3,21 to 35,Female,643.7,70,28,11.8
2016,1,18,2016-01-18,2,4,6,4,2,4,6,0,2,8,5,4,2,6,0,2,2,8,8,7,21 to 35,Female,655.0,70,28,11.8
2016,1,18,2016-01-18,1,1,2,10,2,9,8,1,2,10,7,3,2,7,0,1,2,4,6,7,21 to 35,Male,678.8,70,28,11.8
2016,1,18,2016-01-18,2,5,2,10,10,10,1,5,2,2,0,1,5,6,2,10,2,5,0,2,21 to 35,Female,623.8,70,28,11.8
2016,1,18,2016-01-18,3,0,2,5,0,6,1,0,2,1,0,5,0,10,10,0,1,1,0,1,Less than 20,Female,577.8,70,28,11.8
2016,1,18,2016-01-18,2,2,1,8,8,2,2,5,2,6,1,3,3,7,0,1,2,6,0,10,51 or more,Female,658.4,70,28,11.8
2016,1,18,2016-01-18,4,2,4,10,10,10,8,5,1,9,2,9,5,8,0,0,1,10,5,10,Less than 20,Female,741.4,70,28,11.8
2016,1,18,2016-01-18,2,4,5,5,7,3,3,2,1,9,1,3,0,8,5,1,2,2,0,10,21 to 35,Female,648.4,70,28,11.8
2016,1,18,2016-01-18,2,3,6,5,3,10,4,1,2,8,8,9,3,8,3,1,1,4,2,2,21 to 35,Female,646.2,70,28,11.8
2016,1,18,2016-01-18,3,3,8,5,3,5,3,2,1,7,1,5,4,8,0,5,2,4,3,10,36 to 50,Female,674.3,70,28,11.8
2016,1,18,2016-01-18,3,3,7,5,3,5,3,2,1,7,1,5,4,8,0,5,2,4,3,10,36 to 50,Female,672.6,70,28,11.8
2016,1,19,2016-01-19,4,4,1,5,0,10,2,1,1,2,0,6,0,10,3,4,2,1,1,1,21 to 35,Male,622.2,70,28,11.8
2016,1,19,2016-01-19,4,3,6,10,3,6,4,3,2,5,1,4,4,9,0,8,1,10,2,10,36 to 50,Female,655.6,70,28,11.8
2016,1,19,2016-01-19,2,0,6,5,8,8,4,5,1,8,3,10,2,9,0,1,2,7,2,5,36 to 50,Male,718.0,70,28,11.8
2016,1,19,2016-01-19,2,3,5,5,5,10,4,5,2,8,1,10,2,8,0,1,1,5,1,4,21 to 35,Female,658.3,70,28,11.8
2016,1,19,2016-01-19,2,3,1,6,0,2,1,1,1,6,0,7,6,7,2,3,1,2,1,9,21 to 35,Male,620.1,70,28,11.8
2016,1,19,2016-01-19,3,5,2,4,8,10,2,3,1,3,1,2,0,6,10,3,2,5,1,1,36 to 50,Female,620.6,70,28,11.8
2016,1,19,2016-01-19,4,4,8,0,4,6,4,2,1,7,1,6,3,7,3,4,2,4,0,10,Less than 20,Male,660.7,70,28,11.8
2016,1,19,2016-01-19,4,2,8,8,7,3,2,2,2,2,2,4,2,8,2,7,2,2,2,8,51 or more,Female,643.5,70,28,11.8
2016,1,19,2016-01-19,1,1,3,5,4,5,6,4,2,7,2,6,3,7,1,2,2,7,2,2,36 to 50,Male,655.6,70,28,11.8
2016,1,19,2016-01-19,1,1,3,5,4,5,6,4,2,7,2,6,3,7,1,2,2,7,2,2,36 to 50,Male,655.6,70,28,11.8
2016,1,19,2016-01-19,2,5,3,3,10,10,1,1,2,7,1,6,5,6,10,4,1,5,0,2,36 to 50,Female,599.3,70,28,11.8
2016,1,20,2016-01-20,3,4,4,7,5,10,3,1,1,5,1,3,5,9,10,8,1,3,2,10,Less than 20,Female,629.9,70,28,11.8
2016,1,20,2016-01-20,3,4,10,6,5,3,3,2,1,6,3,6,5,7,0,3,2,5,1,3,36 to 50,Female,669.2,70,28,11.8
2016,1,20,2016-01-20,3,4,1,3,3,10,6,4,1,1,2,7,1,7,0,5,2,6,2,5,Less than 20,Female,657.5,70,28,11.8
2016,1,20,2016-01-20,3,2,3,8,5,10,5,3,2,7,6,2,2,7,0,0,2,3,2,5,51 or more,Female,670.1,70,28,11.8
2016,1,20,2016-01-20,3,2,2,1,2,3,3,2,1,3,1,1,2,7,1,0,2,2,4,0,Less than 20,Male,624.0,70,28,11.8
2016,1,20,2016-01-20,5,1,5,6,6,3,5,4,1,4,10,4,10,8,0,1,1,10,10,10,21 to 35,Male,726.8,70,28,11.8
2016,1,20,2016-01-20,1,4,3,3,5,10,5,5,1,9,2,7,10,7,0,1,2,8,0,10,36 to 50,Male,703.4,70,28,11.8
2016,1,20,2016-01-20,2,3,1,1,1,4,2,0,2,4,0,2,0,6,3,2,1,0,1,5,36 to 50,Male,562.8,70,28,11.8
2016,1,21,2016-01-21,5,1,6,6,10,6,2,5,1,8,5,7,5,9,0,3,2,4,7,7,51 or more,Female,729.3,70,28,11.8
2016,1,21,2016-01-21,1,2,2,5,3,5,3,0,1,8,2,5,5,10,3,4,1,5,4,5,21 to 35,Male,637.3,70,28,11.8
2016,1,21,2016-01-21,1,2,1,4,0,2,1,1,1,1,0,1,1,5,3,10,1,0,0,0,21 to 35,Male,550.5,70,28,11.8
2016,1,21,2016-01-21,1,4,4,4,8,6,6,3,1,4,3,5,5,7,5,4,1,5,4,5,21 to 35,Female,643.5,70,28,11.8
2016,1,21,2016-01-21,2,1,5,8,1,5,1,1,1,4,2,2,2,6,10,0,2,2,2,6,21 to 35,Male,630.8,70,28,11.8
2016,1,21,2016-01-21,4,5,8,10,10,9,4,5,1,6,3,10,3,10,0,9,2,4,4,5,36 to 50,Female,709.7,70,28,11.8
2016,1,21,2016-01-21,4,3,3,2,5,4,2,0,2,3,2,4,2,7,0,2,2,4,4,5,21 to 35,Male,626.3,70,28,11.8
2016,1,21,2016-01-21,5,2,5,2,3,5,2,5,1,7,2,5,2,7,0,1,2,5,0,10,Less than 20,Female,682.6,70,28,11.8
